series,T,sample,model,model_label,statistic,cv_5pct,pvalue,fourier_k,opt_lag,fourier_significant,conclusion
lnLCF,27,1995–2021,1,intercept,-9.2321,-2.7225,0.001,5,3,True,Reject H0
lnLCF,27,1995–2021,2,intercept+trend,0.3669,-3.177,0.4745,5,3,True,Fail to reject
lnGDP,32,1990–2021,1,intercept,0.8541,-3.3013,0.53,1,3,True,Fail to reject
lnGDP,32,1990–2021,2,intercept+trend,-7.2067,-3.575,0.001,2,4,False,Reject H0
lnGDP2,32,1990–2021,1,intercept,1.1138,-3.3013,0.556,1,3,True,Fail to reject
lnGDP2,32,1990–2021,2,intercept+trend,-7.0189,-3.322,0.001,4,4,False,Reject H0
lnREN,32,1990–2021,1,intercept,-3.3814,-2.7359,0.001,4,4,True,Reject H0
lnREN,32,1990–2021,2,intercept+trend,-0.8816,-3.322,0.3572,4,4,True,Fail to reject
lnTrade,32,1990–2021,1,intercept,0.1352,-3.3169,0.4594,1,4,True,Fail to reject
lnTrade,32,1990–2021,2,intercept+trend,-4.4118,-3.575,0.001,2,4,True,Reject H0
